query,assessment_url,normalized_url
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,https://www.shl.com/products/product-catalog/view/sales-representative-solution
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options",https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution
"Find me 1 hour long assesment for the below job at SHL
Job Description

 Join a community that is shaping the future of work! SHL, People Science. People Answers. 

Are you a seasoned QA Engineer with a flair for innovation? Are you ready to shape the future of talent assessment and empower organizations to unlock their full potential? If so, we want you to be a part of the SHL Team! As a QA Engineer, you will be involved in creating and implementing software solutions that contribute to the development of our ground-breaking products.

An excellent benefit package is offered in a culture where career development, with ongoing manager guidance, collaboration, flexibility, diversity, and inclusivity are all intrinsic to our culture.  There is a huge investment in SHL currently so there’s no better time to become a part of something transformational.

What You Will Be Doing

 Getting involved in engineering quality assurance and providing inputs when required. 
 Create and develop test plans for various forms of testing. 
 Conducts and/or participates in formal and informal test case reviews. 
 Develop and initiate functional tests and regression tests. 
 Rolling out improvements for testing and quality processes. 

Essential

 What we are looking for from you: 

 Development experience – Java or JavaScript, CSS, HTML (Automation) 
 Selenium WebDriver and page object design pattern (Automation) 
 SQL server knowledge 
 Test case management experience. 
 Manual Testing 

Desirable

 Knowledge the basic concepts of testing 
 Strong solution-finding experience 
 Strong verbal and written communicator. 

Get In Touch

Find out how this one-off opportunity can help you achieve your career goals by making an application to our knowledgeable and friendly Talent Acquisition team. Choose a new path with SHL.

 #CareersAtSHL #SHLHiringTalent 

#TechnologyJobs #QualityAssuranceJobs

#CareerOpportunities #JobOpportunities 

About Us

We unlock the possibilities of businesses through the power of people, science and technology.
We started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science and business transformation.
When you inspire and transform people’s lives, you will experience the greatest business outcomes possible. SHL’s products insights, experiences, and services can help achieve growth at scale.

What SHL Can Offer You

Diversity, equity, inclusion and accessibility are key threads in the fabric of SHL’s business and culture (find out more about DEI and accessibility at SHL )
Employee benefits package that takes care of you and your family.
Support, coaching, and on-the-job development to achieve career success
A fun and flexible workplace where you’ll be inspired to do your best work (find out more LifeAtSHL )
The ability to transform workplaces around the world for others.

SHL is an equal opportunity employer. We support and encourage applications from a diverse range of candidates. We can, and do make adjustments to make sure our recruitment process is as inclusive as possible.

SHL is an equal opportunity employer.",https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,https://www.shl.com/products/product-catalog/view/professional-7-1-solution
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,https://www.shl.com/products/product-catalog/view/financial-professional-short-form
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long",https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution
"We're looking for a Marketing Manager who can drive Recro’s brand positioning, community growth, and overall marketing strategy to fuel business growth. The ideal candidate is a strategic thinker, an execution-focused leader, and an expert in building high-performing marketing teams.



About Recro 


Recro is a developer-focused platform that was founded to match individual expertise with the right opportunities seamlessly. We empower talented developers by providing them with relevant experience at fast-growing startups based on technical competencies and aspirations. These opportunities have a significant impact on their career success and help them become their best self.


About The Role

Develop and execute Recro’s marketing strategy to enhance community engagement, brand positioning, and industry presence.
Lead the marketing team and oversee all functions, with a strong focus on community building, events, brand positioning, social media engagement, and market intelligence.
Drive demand generation by leveraging community-driven initiatives, influencer partnerships, and strategic event participation.
Organize and represent Recro at industry conferences, networking events, and developer meetups to strengthen brand positioning.
Build and nurture relationships with industry influencers, developer communities, and partners to create brand advocates.
Own the marketing funnel, ensuring continuous tracking, analysis, and optimization of community engagement and event performance.
Collaborate with sales, business development, and leadership teams to align marketing strategies with business objectives and market trends.
Manage marketing budgets, prioritizing event sponsorships, partnerships, and community-driven growth initiatives.
Develop compelling content strategies to drive community interaction and thought leadership.
Stay ahead of industry trends, competitor movements, and emerging social and market intelligence to maintain a competitive edge


Requirements

5+ years of experience in B2B marketing with a strong focus on community building, events, and brand positioning.
Has a deep understanding how demand generation works from traditional and new age channels
Proven track record of executing large-scale events and community-driven initiatives.
Experience in developing partnerships with industry influencers and thought leaders.
Strong understanding of social media dynamics and community engagement strategies.
Ability to leverage market intelligence and competitor insights to refine marketing strategies.
Exceptional storytelling and brand communication skills.
Hands-on experience with event management, sponsorships, and partnership collaborations.
Experience in building a thriving developer or tech community is a plus.
Open for flexible work timings as per target geographies.

I have no bar on duration.",https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310
